Team Name,Logo URL
"Athletic Club","https://images.fotmob.com/image_resources/logo/teamlogo/8315.png"
"Atletico Madrid","https://images.fotmob.com/image_resources/logo/teamlogo/9906.png"
"Barcelona","https://images.fotmob.com/image_resources/logo/teamlogo/8634.png"
"Celta Vigo","https://images.fotmob.com/image_resources/logo/teamlogo/9910.png"
"Deportivo A Coruña","https://images.fotmob.com/image_resources/logo/teamlogo/9783.png"
"Deportivo Alaves","https://images.fotmob.com/image_resources/logo/teamlogo/9866.png"
"Elche","https://images.fotmob.com/image_resources/logo/teamlogo/10268.png"
"Espanyol","https://images.fotmob.com/image_resources/logo/teamlogo/8558.png"
"Getafe","https://images.fotmob.com/image_resources/logo/teamlogo/8305.png"
"Levante","https://images.fotmob.com/image_resources/logo/teamlogo/8581.png"
"Malaga","https://images.fotmob.com/image_resources/logo/teamlogo/9864.png"
"Osasuna","https://images.fotmob.com/image_resources/logo/teamlogo/8371.png"
"Racing Santander","https://images.fotmob.com/image_resources/logo/teamlogo/8696.png"
"Rayo Vallecano","https://images.fotmob.com/image_resources/logo/teamlogo/8370.png"
"Real Betis","https://images.fotmob.com/image_resources/logo/teamlogo/8603.png"
"Real Madrid","https://images.fotmob.com/image_resources/logo/teamlogo/8633.png"
"Real Sociedad","https://images.fotmob.com/image_resources/logo/teamlogo/8560.png"
"Sevilla","https://images.fotmob.com/image_resources/logo/teamlogo/8302.png"
"Valencia","https://images.fotmob.com/image_resources/logo/teamlogo/10267.png"
"Villarreal","https://images.fotmob.com/image_resources/logo/teamlogo/10205.png"
