Team Name,Logo URL
"OL Lyonnes","https://images.fotmob.com/image_resources/logo/teamlogo/394119.png"
"Paris Saint Germain","https://images.fotmob.com/image_resources/logo/teamlogo/294858.png"
"Paris FC","https://images.fotmob.com/image_resources/logo/teamlogo/862893.png"
"Nantes","https://images.fotmob.com/image_resources/logo/teamlogo/1661332.png"
"Fleury Merogis U.S","https://images.fotmob.com/image_resources/logo/teamlogo/862902.png"
"Strasbourg","https://images.fotmob.com/image_resources/logo/teamlogo/1661333.png"
"Le Havre","https://images.fotmob.com/image_resources/logo/teamlogo/1169987.png"
"Marseille","https://images.fotmob.com/image_resources/logo/teamlogo/626232.png"
"Montpellier","https://images.fotmob.com/image_resources/logo/teamlogo/606039.png"
"Lens","https://images.fotmob.com/image_resources/logo/teamlogo/1784549.png"
"Toulouse","https://images.fotmob.com/image_resources/logo/teamlogo/1863810.png"
"Saint Malo","https://images.fotmob.com/image_resources/logo/teamlogo/1863827.png"
