league,slug,name,vibe,play,ethics,fanbase
EPL,man-city,Man City,10.0,5,2,3
EPL,liverpool,Liverpool,9.6,9,6,7
EPL,arsenal,Arsenal,10.0,5,5,3
EPL,man-united,Man United,10.0,6,4,8
EPL,chelsea,Chelsea,8.6,8,3,4
EPL,tottenham,Tottenham,7.7,10,5,5
EPL,newcastle,Newcastle,6.3,8,1,10
EPL,aston-villa,Aston Villa,4.1,6,4,6
EPL,brighton,Brighton,1.9,6,8,1
EPL,crystal-palace,Crystal Palace,2.7,5,7,5
EPL,nottm-forest,Nott'm Forest,3.6,3,3,6
EPL,everton,Everton,4.1,2,5,8
EPL,fulham,Fulham,1.8,4,6,0
EPL,brentford,Brentford,1.4,5,8,2
EPL,bournemouth,Bournemouth,1.4,9,7,1
EPL,sunderland,Sunderland,1.4,5,6,9
EPL,leeds,Leeds,4.1,8,6,8
EPL,ipswich,Ipswich,0.5,7,8,5
EPL,coventry,Coventry,0.0,7,7,6
EPL,hull,Hull,0.0,4,4,5
BUNDESLIGA,bayern-munich,Bayern Munich,10,6,4,5
BUNDESLIGA,borussia-dortmund,Borussia Dortmund,8,9,8,10
BUNDESLIGA,rb-leipzig,RB Leipzig,8,8,0,2
BUNDESLIGA,bayer-leverkusen,Bayer Leverkusen,6,7,3,2
BUNDESLIGA,eintracht-frankfurt,Eintracht Frankfurt,5,7,8,9
BUNDESLIGA,vfb-stuttgart,VfB Stuttgart,6,6,6,7
BUNDESLIGA,hamburger-sv,Hamburger SV,5,6,5,9
BUNDESLIGA,schalke-04,Schalke 04,5,5,4,10
BUNDESLIGA,werder-bremen,Werder Bremen,4,5,6,8
BUNDESLIGA,borussia-monchengladbach,Borussia Mönchengladbach,4,7,7,7
BUNDESLIGA,1-fc-koln,1. FC Köln,4,7,7,9
BUNDESLIGA,tsg-hoffenheim,TSG Hoffenheim,4,5,2,1
BUNDESLIGA,sc-freiburg,SC Freiburg,3,4,9,5
BUNDESLIGA,union-berlin,Union Berlin,2,2,10,10
BUNDESLIGA,mainz-05,Mainz 05,3,5,8,6
BUNDESLIGA,fc-augsburg,FC Augsburg,1,3,5,5
BUNDESLIGA,sv-elversberg,SV Elversberg,0,8,5,3
BUNDESLIGA,sc-paderborn,SC Paderborn,0,6,6,5
LIGUE1,paris-saint-germain,Paris Saint-Germain,10,7,0,4
LIGUE1,marseille,Marseille,8,9,5,10
LIGUE1,monaco,Monaco,6,9,1,0
LIGUE1,lyon,Lyon,6,6,4,6
LIGUE1,lille,Lille,5,4,5,5
LIGUE1,lens,Lens,4,7,9,10
LIGUE1,rennes,Rennes,4,8,8,7
LIGUE1,nice,Nice,3,4,3,5
LIGUE1,strasbourg,Strasbourg,3,8,1,7
LIGUE1,paris-fc,Paris FC,3,6,2,1
LIGUE1,toulouse,Toulouse,2,5,3,4
LIGUE1,brest,Brest,2,6,8,5
LIGUE1,auxerre,Auxerre,2,3,7,5
LIGUE1,angers,Angers,1,2,2,3
LIGUE1,le-havre,Le Havre,1,2,8,7
LIGUE1,lorient,Lorient,1,6,4,5
LIGUE1,troyes,Troyes,1,5,1,2
LIGUE1,le-mans,Le Mans,0,5,6,3
MLS,inter-miami,Inter Miami,10,10,3,5
MLS,la-galaxy,LA Galaxy,8,5,4,5
MLS,lafc,LAFC,8,8,4,7
MLS,atlanta-united,Atlanta United,7,4,6,8
MLS,seattle-sounders,Seattle Sounders,7,7,7,10
MLS,charlotte-fc,Charlotte FC,6,6,4,5
MLS,new-york-city-fc,New York City FC,6,6,1,3
MLS,new-york-red-bulls,New York Red Bulls,5,6,3,5
MLS,toronto-fc,Toronto FC,5,3,4,6
MLS,philadelphia-union,Philadelphia Union,5,4,9,9
MLS,columbus-crew,Columbus Crew,4,8,10,7
MLS,portland-timbers,Portland Timbers,4,5,9,10
MLS,fc-cincinnati,FC Cincinnati,4,7,8,9
MLS,san-diego-fc,San Diego FC,4,8,8,5
MLS,vancouver-whitecaps,Vancouver Whitecaps,4,8,5,7
MLS,dc-united,D.C. United,3,3,2,5
MLS,sporting-kansas-city,Sporting Kansas City,3,5,6,8
MLS,nashville-sc,Nashville SC,3,6,7,8
MLS,orlando-city,Orlando City,3,8,6,7
MLS,austin-fc,Austin FC,3,3,3,6
MLS,minnesota-united,Minnesota United,2,5,7,7
MLS,real-salt-lake,Real Salt Lake,2,4,5,6
MLS,new-england-revolution,New England Revolution,2,5,3,4
MLS,chicago-fire,Chicago Fire,2,9,6,5
MLS,st-louis-city,St. Louis CITY,2,5,9,8
MLS,houston-dynamo,Houston Dynamo,2,5,6,5
MLS,fc-dallas,FC Dallas,1,7,5,2
MLS,colorado-rapids,Colorado Rapids,1,5,1,3
MLS,san-jose-earthquakes,San Jose Earthquakes,1,8,0,2
MLS,cf-montreal,CF Montréal,1,3,2,4
NWSL,angel-city-fc,Angel City FC,10,6,6,8
NWSL,kansas-city-current,Kansas City Current,9,6,9,9
NWSL,gotham-fc,Gotham FC,8,5,6,7
NWSL,denver-summit-fc,Denver Summit FC,7,5,7,8
NWSL,orlando-pride,Orlando Pride,6,6,7,6
NWSL,washington-spirit,Washington Spirit,6,8,10,8
NWSL,portland-thorns,Portland Thorns,6,6,8,10
NWSL,san-diego-wave,San Diego Wave,5,8,4,5
NWSL,bay-fc,Bay FC,4,3,2,3
NWSL,seattle-reign,Seattle Reign,4,5,4,7
NWSL,north-carolina-courage,North Carolina Courage,4,7,1,6
NWSL,boston-legacy-fc,Boston Legacy FC,3,5,5,4
NWSL,chicago-stars-fc,Chicago Stars FC,2,6,3,4
NWSL,utah-royals,Utah Royals,2,4,3,5
NWSL,houston-dash,Houston Dash,1,3,4,3
NWSL,racing-louisville-fc,Racing Louisville FC,1,7,7,6
LALIGA,real-madrid,Real Madrid,10,6,5,6
LALIGA,barcelona,Barcelona,9,9,4,7
LALIGA,atletico-madrid,Atlético Madrid,7,5,4,9
LALIGA,athletic-club,Athletic Club,6,6,9,10
LALIGA,real-betis,Real Betis,5,6,6,9
LALIGA,real-sociedad,Real Sociedad,5,7,6,7
LALIGA,valencia,Valencia,5,4,1,9
LALIGA,sevilla,Sevilla,4,5,4,9
LALIGA,villarreal,Villarreal,4,6,7,4
LALIGA,celta-vigo,Celta Vigo,3,7,6,7
LALIGA,rayo-vallecano,Rayo Vallecano,2,4,7,10
LALIGA,osasuna,Osasuna,3,4,9,9
LALIGA,espanyol,Espanyol,3,5,3,6
LALIGA,deportivo,Deportivo,5,5,6,8
LALIGA,alaves,Alavés,2,4,6,5
LALIGA,levante,Levante,2,5,5,6
LALIGA,elche,Elche,2,4,2,6
LALIGA,racing-santander,Racing Santander,2,5,5,8
LALIGA,getafe,Getafe,1,2,3,3
LALIGA,malaga,Málaga,2,5,1,7
SERIEA,inter,Inter,9,6,2,7
SERIEA,juventus,Juventus,10,5,1,7
SERIEA,ac-milan,AC Milan,8,5,2,6
SERIEA,napoli,Napoli,8,6,6,10
SERIEA,roma,Roma,7,4,5,10
SERIEA,atalanta,Atalanta,6,9,9,8
SERIEA,como,Como,6,7,3,2
SERIEA,lazio,Lazio,6,3,1,8
SERIEA,fiorentina,Fiorentina,5,5,6,8
SERIEA,bologna,Bologna,5,6,10,8
SERIEA,torino,Torino,4,3,4,9
SERIEA,genoa,Genoa,3,5,6,10
SERIEA,udinese,Udinese,3,4,5,5
SERIEA,cagliari,Cagliari,2,5,9,8
SERIEA,lecce,Lecce,1,4,8,7
SERIEA,sassuolo,Sassuolo,2,6,3,1
SERIEA,parma,Parma,2,4,5,6
SERIEA,venezia,Venezia,3,6,4,4
SERIEA,frosinone,Frosinone,1,4,9,4
SERIEA,monza,Monza,2,5,3,4
